NetC;Brindisi;;;;
Stat;Torchiarolo-Via Fanin;;;;
Parm;SO2;NO2;NOX;PM10;PM2.5
;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;ug/m3;ug/m3
;;;;;
;;;;;
04/01/20 07:00;1,44;3,78;5,45;;2,48
04/01/20 08:00;1,72;3,91;5,54;6,11;3,44
04/01/20 09:00;1,60;3,27;5,19;;3,40
04/01/20 10:00;1,78;6,36;8,27;4,40;2,09
04/01/20 11:00;1,73;4,56;6,97;;9,65
04/01/20 12:00;1,99;2,89;4,33;4,88;11,67
04/01/20 13:00;2,58;2,62;4,26;;8,93
04/01/20 14:00;1,71;2,84;4,63;3,66;10,00
04/01/20 15:00;2,53;2,48;4,33;;11,02
04/01/20 16:00;2,50;2,94;4,87;3,17;8,11
04/01/20 17:00;3,04;3,55;5,80;;9,33
04/01/20 18:00;2,88;3,59;5,66;2,93;9,66
04/01/20 19:00;3,12;4,76;6,70;;12,75
04/01/20 20:00;2,20;3,37;5,19;7,81;12,35
04/01/20 21:00;2,67;3,13;4,56;;11,34
04/01/20 22:00;2,23;3,34;4,92;7,08;9,88
04/01/20 23:00;2,06;2,92;4,47;;9,07
04/02/20 00:00;2,15;3,58;5,16;13,92;10,92
04/02/20 01:00;2,22;4,23;5,63;;11,74
04/02/20 02:00;1,51;3,26;5,21;17,34;10,66
04/02/20 03:00;1,49;2,94;4,71;;11,46
04/02/20 04:00;2,03;3,42;4,95;16,12;12,44
04/02/20 05:00;1,61;6,42;8,28;;10,80
04/02/20 06:00;1,71;4,11;5,85;14,41;8,66
04/02/20 07:00;1,68;5,34;6,96;;12,21
04/02/20 08:00;1,75;6,93;8,91;14,41;11,01
04/02/20 09:00;2,24;6,80;8,97;;8,10
04/02/20 10:00;2,88;6,18;8,34;10,01;9,78
04/02/20 11:00;3,82;3,99;6,35;;13,92
04/02/20 12:00;4,46;4,14;5,91;15,14;11,35
04/02/20 13:00;3,79;3,22;5,10;;8,88
04/02/20 14:00;3,35;4,00;6,30;18,56;9,45
04/02/20 15:00;3,85;3,37;5,31;;9,79
04/02/20 16:00;3,25;3,48;5,34;12,45;9,79
04/02/20 17:00;2,37;2,90;4,97;;9,80
04/02/20 18:00;2,72;3,35;4,76;13,68;13,05
04/02/20 19:00;3,08;3,95;5,79;;12,29
04/02/20 20:00;2,23;7,57;9,11;11,72;14,79
04/02/20 21:00;1,69;15,70;17,78;;12,30
04/02/20 22:00;1,72;17,43;20,44;14,90;7,75
04/02/20 23:00;1,78;10,09;12,73;;10,94
04/03/20 00:00;1,63;8,30;10,93;15,14;18,08
04/03/20 01:00;;11,59;15,38;;24,12
04/03/20 02:00;1,85;15,01;29,95;12,45;29,84
04/03/20 03:00;2,52;;;;29,96
04/03/20 04:00;0,54;12,09;38,41;22,47;28,38
04/03/20 05:00;2,61;13,84;94,04;;27,97
04/03/20 06:00;2,57;22,96;39,42;28,82;22,46
04/03/20 07:00;2,68;27,97;63,88;;19,77
04/03/20 08:00;2,48;18,25;26,06;28,82;20,81
04/03/20 09:00;2,69;7,49;9,67;;12,44
04/03/20 10:00;2,15;5,15;7,16;29,06;9,53
04/03/20 11:00;2,61;3,25;4,92;;10,74
04/03/20 12:00;2,80;3,74;5,81;26,37;11,10
04/03/20 13:00;2,81;4,30;6,38;;10,36
04/03/20 14:00;2,15;3,54;5,34;18,07;8,63
04/03/20 15:00;2,51;4,35;6,47;;8,54
04/03/20 16:00;2,23;5,12;7,58;14,16;10,09
04/03/20 17:00;1,70;5,34;7,56;;14,61
04/03/20 18:00;2,23;7,16;9,96;17,09;12,96
04/03/20 19:00;2,11;4,28;6,70;;12,64
04/03/20 20:00;1,86;3,92;5,98;15,14;15,45
04/03/20 21:00;1,92;4,84;6,52;;15,72
04/03/20 22:00;2,23;3,64;5,23;11,97;13,17
04/03/20 23:00;1,99;2,75;4,41;;11,74
04/04/20 00:00;1,80;2,67;4,21;12,21;9,89
04/04/20 01:00;2,64;2,11;3,65;;7,99
04/04/20 02:00;1,68;1,57;3,17;16,12;7,98
04/04/20 03:00;2,12;2,42;3,88;;8,65
04/04/20 04:00;2,18;3,49;5,14;9,77;12,93
04/04/20 05:00;2,53;3,53;5,08;;16,02
04/04/20 06:00;2,12;2,61;4,21;11,48;10,67
04/04/20 07:00;2,71;4,62;6,34;;7,42
04/04/20 08:00;2,05;4,86;6,44;11,48;9,66
04/04/20 09:00;2,49;5,51;7,74;;12,11
04/04/20 10:00;2,94;5,81;8,07;12,21;16,69
04/04/20 11:00;4,28;3,01;4,49;;15,67
04/04/20 12:00;5,58;3,04;4,79;13,43;14,53
04/04/20 13:00;8,11;3,35;5,06;;13,44
04/04/20 14:00;8,04;3,38;5,13;17,09;18,54
04/04/20 15:00;6,02;2,96;4,50;;25,80
04/04/20 16:00;8,90;5,02;7,02;15,63;22,29
04/04/20 17:00;7,69;4,95;7,05;;20,45
04/04/20 18:00;6,47;6,15;7,88;15,87;20,43
04/04/20 19:00;4,59;5,34;7,51;;20,86
04/04/20 20:00;4,90;4,93;6,89;20,51;20,01
04/04/20 21:00;3,44;3,21;5,12;;17,13
04/04/20 22:00;3,67;2,88;4,30;21,73;16,48
04/04/20 23:00;3,83;2,82;4,38;;18,99
04/05/20 00:00;3,50;3,10;4,51;23,93;17,72
04/05/20 01:00;;2,71;4,47;;18,80
04/05/20 02:00;2,44;2,47;4,22;27,59;18,30
04/05/20 03:00;2,32;;;;16,36
04/05/20 04:00;1,57;2,51;4,04;27,59;13,20
04/05/20 05:00;1,28;2,04;3,48;;15,49
04/05/20 06:00;1,64;2,99;4,58;22,22;13,97
04/05/20 07:00;1,96;1,97;3,45;;11,43
04/05/20 08:00;1,71;2,91;4,16;22,22;14,59
04/05/20 09:00;1,67;3,29;4,81;;12,66
04/05/20 10:00;1,53;2,81;4,78;24,91;12,91
04/05/20 11:00;2,14;3,25;5,08;;13,09
04/05/20 12:00;1,49;2,60;4,11;23,93;12,28
04/05/20 13:00;1,42;3,22;4,95;;13,99
04/05/20 14:00;1,66;2,71;4,27;26,37;12,50
04/05/20 15:00;2,04;2,65;4,07;;11,21
04/05/20 16:00;1,50;2,78;4,11;18,07;12,48
04/05/20 17:00;1,30;3,32;4,75;;13,93
04/05/20 18:00;1,91;4,30;6,10;24,18;14,96
04/05/20 19:00;1,59;3,17;4,83;;16,27
04/05/20 20:00;1,66;3,18;4,93;17,83;17,02
04/05/20 21:00;1,54;3,68;5,47;;12,51
04/05/20 22:00;1,25;4,15;5,70;27,11;14,23
04/05/20 23:00;0,89;3,14;4,91;;16,44
04/06/20 00:00;0,39;2,32;4,21;28,08;8,69
04/06/20 01:00;1,35;2,60;4,20;;8,34
04/06/20 02:00;1,17;2,71;4,19;26,86;10,90
04/06/20 03:00;1,41;2,77;4,18;;8,51
04/06/20 04:00;1,18;2,21;3,79;21,73;6,27
04/06/20 05:00;1,24;2,34;3,52;;4,66
04/06/20 06:00;1,26;4,29;5,97;22,95;3,98
04/06/20 07:00;1,49;7,50;9,76;;5,91
04/06/20 08:00;1,24;16,95;21,15;22,95;9,55
04/06/20 09:00;1,20;9,14;12,16;;16,03
04/06/20 10:00;0,73;3,69;5,63;15,14;13,18
04/06/20 11:00;1,13;3,03;4,93;;9,21
04/06/20 12:00;1,28;3,45;5,36;24,42;8,68
04/06/20 13:00;1,01;2,95;4,74;;10,30
04/06/20 14:00;0,44;3,20;4,88;19,29;10,94
04/06/20 15:00;0,26;3,73;5,77;;12,44
04/06/20 16:00;1,28;4,13;6,10;16,12;12,69
04/06/20 17:00;1,48;5,25;7,15;;17,25
04/06/20 18:00;1,23;5,76;7,64;21,00;19,04
04/06/20 19:00;1,44;6,18;8,26;;17,59
04/06/20 20:00;1,30;4,52;6,27;22,47;18,28
04/06/20 21:00;1,39;8,86;11,22;;16,46
04/06/20 22:00;1,01;6,35;8,43;26,86;17,60
04/06/20 23:00;1,08;5,15;7,10;;17,31
04/07/20 00:00;1,07;6,01;7,85;24,91;16,02
04/07/20 01:00;;5,29;6,84;;18,25
04/07/20 02:00;0,76;3,79;5,23;34,68;16,69
04/07/20 03:00;0,71;;;;17,91
04/07/20 04:00;0,65;5,49;7,05;25,40;17,85
04/07/20 05:00;0,77;6,15;7,80;;15,29
04/07/20 06:00;0,80;9,96;11,96;24,91;15,32
04/07/20 07:00;0,55;12,00;14,95;;15,91
04/07/20 08:00;0,95;6,22;8,50;24,91;12,05
04/07/20 09:00;1,17;6,40;9,10;;10,95
04/07/20 10:00;1,32;3,63;5,67;28,82;9,89
04/07/20 11:00;0,73;4,31;6,25;;8,87
04/07/20 12:00;0,54;4,35;6,37;24,42;7,33
04/07/20 13:00;0,73;3,40;5,30;;6,37
04/07/20 14:00;0,56;3,13;5,18;20,76;7,56
04/07/20 15:00;0,83;2,83;4,68;;7,30
04/07/20 16:00;0,64;2,66;4,50;19,29;5,52
04/07/20 17:00;0,99;6,49;8,99;;4,29
04/07/20 18:00;0,23;4,74;6,81;14,90;8,99
04/07/20 19:00;0,19;3,74;5,43;;17,87
04/07/20 20:00;0,77;4,20;5,67;16,12;19,45
04/07/20 21:00;0,67;4,81;6,47;;17,40
04/07/20 22:00;0,50;4,23;6,07;24,42;19,34
04/07/20 23:00;0,85;4,43;6,16;;24,28
04/08/20 00:00;0,54;4,65;6,57;23,20;26,12
04/08/20 01:00;0,96;4,47;6,09;;27,36
04/08/20 02:00;0,89;4,13;5,70;32,72;24,87
04/08/20 03:00;0,63;4,52;6,55;;23,67
04/08/20 04:00;0,97;5,42;6,94;32,97;22,37
04/08/20 05:00;0,95;6,29;8,19;;22,16
04/08/20 06:00;1,06;8,07;10,17;25,64;21,17
04/08/20 07:00;0,98;14,24;17,53;;19,44
04/08/20 08:00;0,97;12,40;16,94;25,64;20,51
04/08/20 09:00;1,71;5,41;7,67;;15,07
04/08/20 10:00;2,17;2,99;4,97;29,06;8,22
04/08/20 11:00;1,91;2,67;4,69;;5,64
04/08/20 12:00;1,94;3,01;4,29;26,86;5,01
04/08/20 13:00;1,89;3,32;5,34;;4,70
04/08/20 14:00;1,76;2,23;3,65;13,92;5,17
04/08/20 15:00;1,67;1,80;3,47;;6,28
04/08/20 16:00;2,76;3,77;5,84;8,30;5,96
04/08/20 17:00;3,17;6,48;8,35;;4,74
04/08/20 18:00;2,64;7,32;9,05;4,88;6,28
04/08/20 19:00;1,39;6,45;8,38;;7,58
04/08/20 20:00;1,16;8,17;9,97;6,59;7,46
04/08/20 21:00;1,40;7,38;9,27;;12,35
04/08/20 22:00;1,31;8,56;10,67;5,13;18,96
04/08/20 23:00;1,12;6,43;8,47;;18,61
04/09/20 00:00;1,49;6,17;8,06;19,29;16,36
04/09/20 01:00;;5,64;7,38;;15,31
04/09/20 02:00;1,52;6,02;8,03;22,95;16,34
04/09/20 03:00;1,42;;;;12,09
04/09/20 04:00;1,23;4,91;6,57;27,84;10,53
04/09/20 05:00;1,39;3,79;5,18;;11,01
04/09/20 06:00;0,91;8,66;10,71;15,87;12,98
04/09/20 07:00;1,27;10,45;13,65;;14,77
04/09/20 08:00;1,21;6,97;8,84;15,87;19,85
04/09/20 09:00;1,22;5,70;7,72;;23,84
04/09/20 10:00;1,33;5,60;7,72;18,32;22,53
04/09/20 11:00;1,42;5,48;7,73;;22,18
04/09/20 12:00;1,27;5,86;7,97;30,28;20,14
04/09/20 13:00;1,58;4,54;6,46;;20,20
04/09/20 14:00;1,80;4,68;6,68;26,37;18,42
04/09/20 15:00;1,76;5,39;7,43;;22,03
04/09/20 16:00;0,29;4,60;6,23;22,95;21,96
04/09/20 17:00;0,83;3,66;5,21;;16,13
04/09/20 18:00;1,82;4,09;5,60;20,51;16,33
04/09/20 19:00;1,73;4,22;5,64;;20,28
04/09/20 20:00;1,28;3,38;4,91;16,36;22,11
04/09/20 21:00;2,05;4,51;6,05;;22,34
04/09/20 22:00;1,75;4,62;6,11;21,98;24,84
04/09/20 23:00;1,65;4,13;5,74;;22,08
04/10/20 00:00;2,11;3,45;5,03;32,97;21,12
04/10/20 01:00;2,33;3,58;5,51;;21,45
04/10/20 02:00;1,25;4,42;6,36;25,15;17,27
04/10/20 03:00;0,35;10,89;12,61;;16,15
04/10/20 04:00;1,98;7,27;8,83;27,84;16,06
04/10/20 05:00;1,30;31,08;35,11;;13,87
04/10/20 06:00;1,66;44,53;57,02;22,22;14,53
04/10/20 07:00;1,45;26,50;33,23;;16,57
04/10/20 08:00;1,70;23,96;30,63;22,22;19,25
04/10/20 09:00;2,80;7,76;9,99;;23,60
04/10/20 10:00;1,81;6,85;8,94;26,13;26,97
04/10/20 11:00;1,76;4,71;6,40;;21,32
04/10/20 12:00;1,66;4,24;6,29;30,28;16,29
04/10/20 13:00;1,51;4,44;6,15;;20,05
04/10/20 14:00;2,27;4,03;5,83;31,50;19,61
04/10/20 15:00;2,58;4,15;5,72;;21,42
04/10/20 16:00;3,04;4,42;6,11;23,93;22,79
04/10/20 17:00;2,95;4,38;5,95;;25,80
04/10/20 18:00;3,52;5,02;6,83;24,91;26,69
04/10/20 19:00;3,11;7,80;10,00;;28,94
04/10/20 20:00;1,94;6,43;8,40;26,86;33,71
04/10/20 21:00;1,56;8,56;10,30;;29,91
04/10/20 22:00;1,97;19,00;20,75;38,10;26,43
04/10/20 23:00;1,31;10,58;12,68;;22,46
04/11/20 00:00;0,84;11,40;13,40;39,07;17,50
04/11/20 01:00;;18,34;22,95;;20,76
04/11/20 02:00;1,43;20,95;39,52;41,76;19,92
04/11/20 03:00;1,52;;;;16,92
04/11/20 04:00;1,78;12,01;14,01;31,75;15,71
04/11/20 05:00;1,42;24,05;28,26;;17,23
04/11/20 06:00;1,79;14,29;16,34;24,66;22,28
04/11/20 07:00;2,13;29,40;51,04;;30,88
04/11/20 08:00;1,85;16,19;21,42;24,66;29,16
04/11/20 09:00;2,48;7,76;9,96;;21,02
04/11/20 10:00;6,34;16,21;19,82;31,99;17,29
04/11/20 11:00;2,84;6,14;8,24;;16,06
04/11/20 12:00;2,25;6,48;8,37;35,16;19,83
04/11/20 13:00;2,35;6,24;8,83;;20,32
04/11/20 14:00;2,29;5,01;6,75;31,01;17,69
04/11/20 15:00;2,97;4,31;6,24;;21,06
04/11/20 16:00;3,73;7,28;9,61;27,35;22,97
04/11/20 17:00;3,09;5,33;7,04;;25,33
04/11/20 18:00;3,26;5,25;7,01;24,91;30,39
04/11/20 19:00;2,11;7,38;9,68;;26,67
04/11/20 20:00;1,04;8,38;10,55;38,58;22,68
04/11/20 21:00;1,53;8,84;11,31;;27,33
04/11/20 22:00;1,78;9,91;12,08;33,94;28,56
04/11/20 23:00;0,87;7,00;8,77;;26,00
04/12/20 00:00;1,70;4,57;6,49;43,71;25,31
04/12/20 01:00;2,02;3,83;5,20;;21,95
04/12/20 02:00;1,74;4,41;6,51;35,41;21,43
04/12/20 03:00;1,21;3,70;5,36;;26,56
04/12/20 04:00;1,90;4,24;5,79;30,04;31,37
04/12/20 05:00;2,10;4,00;5,66;;35,38
04/12/20 06:00;1,90;6,20;7,90;32,23;32,37
04/12/20 07:00;1,52;11,74;15,19;;30,37
04/12/20 08:00;2,06;6,14;8,18;32,23;28,19
04/12/20 09:00;2,91;5,21;7,14;;27,57
04/12/20 10:00;3,17;4,61;6,34;38,34;28,54
04/12/20 11:00;3,00;5,80;7,60;;26,07
04/12/20 12:00;3,56;7,16;9,02;34,68;24,19
04/12/20 13:00;3,86;5,15;6,98;;26,04
04/12/20 14:00;3,75;5,36;7,05;31,75;24,93
04/12/20 15:00;3,67;5,47;7,05;;25,10
04/12/20 16:00;3,37;5,79;7,11;32,48;26,59
04/12/20 17:00;3,72;4,73;6,13;;25,39
04/12/20 18:00;4,91;5,39;6,78;31,50;28,13
04/12/20 19:00;3,79;4,12;5,47;;29,52
04/12/20 20:00;2,75;3,21;4,78;30,04;25,80
04/12/20 21:00;2,35;3,81;5,07;;26,56
04/12/20 22:00;1,81;3,29;5,06;33,21;27,98
04/12/20 23:00;1,65;2,72;4,35;;27,29
13/04/2020 00:00;0,95;2,66;3,94;37,36;27,12
13/04/2020 01:00;;2,88;4,48;;30,31
13/04/2020 02:00;1,43;2,44;4,00;38,83;28,08
13/04/2020 03:00;2,37;;;;27,45
13/04/2020 04:00;1,69;2,19;3,88;38,83;28,15
13/04/2020 05:00;1,37;2,65;4,12;;26,35
13/04/2020 06:00;1,79;3,44;4,97;29,55;24,54
13/04/2020 07:00;1,84;2,52;4,54;;24,90
13/04/2020 08:00;1,80;2,98;4,69;29,55;23,09
13/04/2020 09:00;2,26;2,85;4,58;;23,19
13/04/2020 10:00;3,02;2,52;3,99;31,01;18,77
13/04/2020 11:00;3,52;2,63;4,64;;19,45
13/04/2020 12:00;3,28;2,66;4,20;38,83;26,14
13/04/2020 13:00;2,70;3,01;4,50;;23,77
13/04/2020 14:00;2,61;2,84;4,45;20,51;24,84
13/04/2020 15:00;2,24;2,29;3,52;;15,32
13/04/2020 16:00;1,52;1,86;3,44;13,43;9,22
13/04/2020 17:00;1,83;1,62;3,01;;7,68
13/04/2020 18:00;2,05;1,69;3,56;13,43;9,18
13/04/2020 19:00;1,87;2,38;3,92;;9,22
13/04/2020 20:00;2,24;4,99;6,89;17,09;8,65
13/04/2020 21:00;1,31;5,59;7,57;;16,56
13/04/2020 22:00;1,86;3,99;5,83;15,38;21,69
13/04/2020 23:00;2,32;2,66;4,13;;23,27
14/04/2020 00:00;2,30;2,19;3,83;21,00;20,90
14/04/2020 01:00;2,41;2,00;3,46;;15,15
14/04/2020 02:00;2,58;1,69;2,97;25,15;13,81
14/04/2020 03:00;2,51;1,85;3,01;;18,02
14/04/2020 04:00;2,54;1,72;3,14;19,78;21,74
14/04/2020 05:00;2,94;2,36;3,86;;22,67
14/04/2020 06:00;2,79;3,41;4,81;25,40;25,83
14/04/2020 07:00;3,24;5,31;7,39;;26,69
14/04/2020 08:00;2,91;4,55;6,34;25,40;26,01
14/04/2020 09:00;2,60;4,00;5,54;;26,20
14/04/2020 10:00;2,73;3,77;5,20;23,69;29,00
14/04/2020 11:00;2,34;3,71;5,15;;28,10
14/04/2020 12:00;2,99;5,79;7,58;28,08;24,51
14/04/2020 13:00;3,43;4,17;6,06;;19,84
14/04/2020 14:00;1,41;3,03;4,53;30,04;19,70
14/04/2020 15:00;2,81;2,67;4,19;;21,19
14/04/2020 16:00;3,15;3,01;4,33;25,15;20,08
14/04/2020 17:00;2,96;4,66;6,61;;16,78
14/04/2020 18:00;2,82;5,20;7,08;25,40;23,18
14/04/2020 19:00;2,59;5,60;7,77;;26,50
14/04/2020 20:00;3,13;5,13;6,92;27,59;28,39
14/04/2020 21:00;3,39;7,80;9,78;;25,95
14/04/2020 22:00;2,99;4,20;5,68;32,23;28,08
14/04/2020 23:00;2,36;1,92;3,10;;24,92
15/04/2020 00:00;2,10;1,65;3,04;35,41;15,08
15/04/2020 01:00;;1,88;3,58;;9,77
15/04/2020 02:00;2,47;2,02;3,62;33,21;7,31
15/04/2020 03:00;1,46;;;;9,90
15/04/2020 04:00;1,62;1,15;2,55;27,59;11,17
15/04/2020 05:00;2,02;1,61;2,93;;8,98
15/04/2020 06:00;1,55;1,83;3,04;18,56;8,89
15/04/2020 07:00;1,42;2,17;3,26;;7,76
15/04/2020 08:00;0,62;1,71;2,73;18,56;5,20
15/04/2020 09:00;1,70;1,62;3,19;;2,94
15/04/2020 10:00;1,64;1,85;3,26;10,01;2,38
15/04/2020 11:00;1,38;1,73;3,35;;5,94
15/04/2020 12:00;1,25;1,43;2,88;8,06;8,72
15/04/2020 13:00;1,88;2,26;3,82;;8,60
15/04/2020 14:00;1,44;2,06;3,90;8,06;9,41
15/04/2020 15:00;0,88;1,97;3,50;;7,75
15/04/2020 16:00;1,31;2,51;3,96;11,23;6,33
15/04/2020 17:00;1,57;2,01;3,40;;13,30
15/04/2020 18:00;2,44;3,26;4,72;14,90;9,39
15/04/2020 19:00;1,47;3,74;5,73;;7,86
15/04/2020 20:00;2,15;4,46;6,85;13,43;11,90
15/04/2020 21:00;1,11;4,99;6,80;;11,05
15/04/2020 22:00;1,57;3,40;5,37;11,97;10,17
15/04/2020 23:00;1,26;2,86;4,31;;8,87
16/04/2020 00:00;1,10;2,11;3,78;22,22;5,85
16/04/2020 01:00;0,49;2,42;3,77;;4,21
16/04/2020 02:00;1,16;2,53;4,17;21,98;6,08
16/04/2020 03:00;1,32;2,93;4,31;;5,81
16/04/2020 04:00;1,78;2,91;4,31;19,05;5,47
16/04/2020 05:00;1,87;3,44;5,10;;6,12
16/04/2020 06:00;1,56;6,75;8,95;15,87;6,24
16/04/2020 07:00;0,61;7,08;9,04;;5,04
16/04/2020 08:00;1,20;8,38;10,79;15,87;4,28
16/04/2020 09:00;1,56;6,74;9,43;;5,05
16/04/2020 10:00;1,75;5,04;7,40;10,01;5,89
16/04/2020 11:00;2,27;5,64;7,80;;7,27
16/04/2020 12:00;2,18;5,80;8,35;18,32;7,19
16/04/2020 13:00;1,55;4,27;6,25;;6,48
16/04/2020 14:00;1,52;3,61;5,80;12,94;7,92
16/04/2020 15:00;1,30;3,49;5,14;;7,72
16/04/2020 16:00;1,50;2,18;3,82;13,43;4,97
16/04/2020 17:00;1,47;3,97;5,84;;4,83
16/04/2020 18:00;1,57;4,36;6,40;10,99;5,89
16/04/2020 19:00;1,90;3,57;5,64;;5,74
16/04/2020 20:00;1,56;3,35;4,86;9,52;6,27
16/04/2020 21:00;1,04;13,35;15,47;;18,04
16/04/2020 22:00;1,22;13,95;16,35;14,16;12,71
16/04/2020 23:00;1,77;9,93;11,97;;6,27
17/04/2020 00:00;1,91;11,26;14,72;23,69;8,65
17/04/2020 01:00;;15,58;24,51;;8,36
17/04/2020 02:00;1,22;15,41;33,78;17,58;5,85
17/04/2020 03:00;1,72;;;;7,78
17/04/2020 04:00;2,15;16,23;56,36;17,58;9,87
17/04/2020 05:00;1,61;17,48;49,31;;9,33
17/04/2020 06:00;1,46;23,28;37,52;17,34;11,48
17/04/2020 07:00;2,02;26,44;41,75;;12,97
17/04/2020 08:00;1,88;17,79;24,84;17,34;10,37
17/04/2020 09:00;2,20;7,64;10,83;;9,06
17/04/2020 10:00;3,23;6,82;8,93;19,29;10,71
17/04/2020 11:00;3,72;8,98;11,26;;9,91
17/04/2020 12:00;2,99;11,11;14,12;24,91;10,22
17/04/2020 13:00;3,43;11,59;14,40;;10,82
17/04/2020 14:00;2,77;9,30;11,63;13,92;10,71
17/04/2020 15:00;3,10;7,61;9,47;;9,56
17/04/2020 16:00;2,91;5,76;7,61;12,21;9,83
17/04/2020 17:00;2,86;7,76;10,01;;13,65
17/04/2020 18:00;2,78;8,78;10,33;12,94;12,62
17/04/2020 19:00;2,43;15,01;17,03;;12,28
17/04/2020 20:00;2,02;8,46;10,51;17,34;16,42
17/04/2020 21:00;2,24;18,47;20,55;;17,02
17/04/2020 22:00;1,99;16,03;18,14;17,58;12,77
17/04/2020 23:00;1,66;10,15;11,89;;10,75
18/04/2020 00:00;2,40;8,65;10,82;27,59;10,55
18/04/2020 01:00;1,92;13,36;21,27;;9,45
18/04/2020 02:00;1,90;15,55;34,49;20,27;8,49
18/04/2020 03:00;2,40;13,97;48,44;;9,03
18/04/2020 04:00;2,77;16,73;55,06;19,78;10,25
18/04/2020 05:00;2,53;19,22;69,21;;14,54
18/04/2020 06:00;1,82;18,34;62,35;18,07;12,92
18/04/2020 07:00;1,65;20,37;49,50;;14,42
18/04/2020 08:00;1,75;20,06;26,83;18,07;22,18
18/04/2020 09:00;1,76;5,65;7,79;;18,70
18/04/2020 10:00;2,55;7,38;9,18;21,25;10,86
18/04/2020 11:00;2,22;4,74;6,42;;5,56
18/04/2020 12:00;1,79;5,91;7,94;36,39;6,20
18/04/2020 13:00;2,68;5,56;7,40;;8,22
18/04/2020 14:00;2,12;3,89;5,58;18,80;6,65
18/04/2020 15:00;2,32;4,94;6,59;;5,14
18/04/2020 16:00;2,38;2,58;4,45;10,74;7,38
18/04/2020 17:00;1,95;2,47;4,41;;7,92
18/04/2020 18:00;2,04;2,91;4,44;7,08;3,71
18/04/2020 19:00;1,65;3,81;5,55;;3,44
18/04/2020 20:00;1,87;10,25;11,91;10,99;8,22
18/04/2020 21:00;1,67;10,23;12,12;;11,55
18/04/2020 22:00;2,22;10,06;12,01;6,35;10,52
18/04/2020 23:00;2,24;6,51;8,48;;12,35
19/04/2020 00:00;2,46;4,35;6,20;21,00;11,97
19/04/2020 01:00;;4,95;6,74;;13,79
19/04/2020 02:00;2,23;4,02;6,07;17,34;16,14
19/04/2020 03:00;2,05;;;;13,62
19/04/2020 04:00;2,39;5,12;7,19;20,76;11,55
19/04/2020 05:00;2,21;6,42;8,53;;10,37
19/04/2020 06:00;2,15;12,67;14,86;16,36;10,53
19/04/2020 07:00;2,46;9,90;12,53;;12,93
19/04/2020 08:00;1,95;6,23;8,54;16,36;16,75
19/04/2020 09:00;2,10;6,69;8,93;;10,33
19/04/2020 10:00;2,47;5,26;7,28;22,71;11,44
19/04/2020 11:00;2,56;4,30;5,79;;11,94
19/04/2020 12:00;3,19;4,47;6,34;20,02;12,78
19/04/2020 13:00;2,90;4,22;6,16;;15,53
19/04/2020 14:00;3,31;3,51;5,05;15,63;13,73
19/04/2020 15:00;3,42;2,88;4,37;;12,27
19/04/2020 16:00;4,05;2,80;4,72;21,98;13,41
19/04/2020 17:00;4,01;2,79;4,44;;14,63
19/04/2020 18:00;3,80;2,70;4,30;30,53;12,69
19/04/2020 19:00;3,11;2,80;4,28;;19,93
19/04/2020 20:00;3,19;3,26;4,90;26,62;20,31
19/04/2020 21:00;2,98;3,70;5,55;;20,69
19/04/2020 22:00;2,70;5,06;7,14;35,41;23,79
19/04/2020 23:00;3,53;3,03;5,00;;27,35
20/04/2020 00:00;3,90;2,62;4,51;43,22;22,95
20/04/2020 01:00;3,50;1,76;3,49;;16,41
20/04/2020 02:00;3,04;1,81;3,42;43,96;15,07
20/04/2020 03:00;3,27;2,44;4,23;;17,40
20/04/2020 04:00;3,45;3,37;5,15;44,44;17,71
20/04/2020 05:00;3,72;8,51;11,03;;13,31
20/04/2020 06:00;2,40;5,38;7,49;34,19;12,58
20/04/2020 07:00;3,79;5,55;7,67;;12,53
20/04/2020 08:00;3,92;6,41;8,69;34,19;10,98
20/04/2020 09:00;4,08;6,38;8,93;;9,83
20/04/2020 10:00;3,52;6,98;9,60;27,35;9,70
20/04/2020 11:00;3,90;7,29;10,11;;13,63
20/04/2020 12:00;3,95;7,17;9,71;26,62;12,47
20/04/2020 13:00;3,45;5,72;7,76;;18,44
20/04/2020 14:00;3,13;5,55;7,87;23,20;21,34
20/04/2020 15:00;4,11;4,98;6,82;;19,24
20/04/2020 16:00;3,98;4,99;7,11;31,26;20,58
20/04/2020 17:00;4,74;5,01;7,10;;23,44
20/04/2020 18:00;4,19;3,87;5,81;25,89;19,50
20/04/2020 19:00;3,84;3,91;5,89;;16,33
20/04/2020 20:00;3,54;2,49;4,59;30,04;14,50
20/04/2020 21:00;4,27;2,25;3,94;;12,70
20/04/2020 22:00;3,53;2,09;3,62;28,08;10,90
20/04/2020 23:00;3,93;1,49;3,35;;9,98
21/04/2020 00:00;4,10;4,10;6,05;30,04;9,24
21/04/2020 01:00;;2,01;4,01;;8,89
21/04/2020 02:00;3,10;1,30;2,75;22,22;9,64
21/04/2020 03:00;3,03;;;;10,70
21/04/2020 04:00;3,02;1,86;3,89;20,02;9,30
21/04/2020 05:00;3,39;1,40;2,90;;8,45
21/04/2020 06:00;3,27;3,49;4,99;19,29;9,12
21/04/2020 07:00;3,46;3,06;4,84;;10,82
21/04/2020 08:00;3,35;2,49;4,06;19,29;10,58
21/04/2020 09:00;3,38;2,37;4,28;;8,32
